github.com/AlDanial/cloc v 1.98  T=0.23 s (903.6 files/s, 281368.4 lines/s)
---------------------------------------------------------------------------------------------------------
File                                                                  blank        comment           code
./lib/src/ui/pages/installed_resources_page.dart                         16              1            177
./lib/src/download/download_engine.dart                                  38             20            176
./lib/src/modpack/modpack_installer.dart                                 29             19            175
./lib/src/auth/auth_manager.dart                                         42             19            173
./test/task_test.dart                                                    42              6            167
./lib/src/resource_center/cache_manager.dart                             28             13            157
./lib/src/diagnostic/log_analyzer.dart                                   19              0            156
./lib/src/game/launcher/native_library_manager.dart                      33              0            153
./lib/src/game_hud/memory_monitor.dart                                   27              0            152
./lib/src/task/task.dart                                                 49             63            150
./test/java_manager_test.dart                                            22              0            142
./count_lines.py                                                         22             11            137
./lib/src/i18n/language_selector.dart                                    11              0            137
./lib/src/download/download_source.dart                                  29             22            133
./lib/src/resource_center/resource_manager.dart                          28             13            133
./lib/src/ui/theme/background_manager.dart                               16              0            128
./lib/src/game/java/models.dart                                          21             38            126
./lib/src/core/error_codes.dart                                          39             47            121
./lib/src/config/config_manager.dart                                     63             49            117
./lib/src/game_hud/fps_monitor.dart                                      23              0            113
./README.md                                                              34              0            112
./lib/src/core/error_handler.dart                                        29             14            112
./lib/src/ui/pages/game_library_page.dart                                 7              1            111
./lib/src/config/background_config.dart                                  11              0            106
./lib/src/mod/mod_info.dart                                               4              0            100
./lib/src/config/config_keys.dart                                        11             13             99
./lib/src/ui/pages/app_router.dart                                       10             13             98
./lib/src/core/retry_helper.dart                                         21             22             97
./lib/src/event/event_bus.dart                                           33             32             95
./lib/src/account/account.dart                                           20             23             94
./lib/src/auth/minecraft_auth.dart                                       20              9             94
./lib/src/platform/windows_adapter.dart                                  14              1             93
./test/config_manager_test.dart                                          24              0             93
./lib/src/mod/mod_manager.dart                                           14              0             92
./lib/src/platform/linux_adapter.dart                                    14              1             92
./test/event_bus_test.dart                                               30              0             92
./lib/src/platform/macos_adapter.dart                                    14              1             91
./windows/flutter/CMakeLists.txt                                         11             14             84
./test/version_manager_test.dart                                         19              0             83
./lib/src/ui/components/ba_bottom_nav.dart                                4              1             81
./test/download_engine_test.dart                                         12              0             76
./lib/src/ui/theme/typography.dart                                       14             15             73
./lib/src/auth/xbox_auth.dart                                            12              5             71
./windows/runner/Runner.rc                                               23             29             69
./windows/CMakeLists.txt                                                 19             26             63
./lib/src/ui/theme/theme_manager.dart                                    16              1             62
./generate_report.py                                                     14              6             60
./lib/main.dart                                                          11             11             60
./windows/runner/utils.cpp                                                9              2             54
./lib/src/config/crypto_util.dart                                        13             14             52
./windows/runner/flutter_window.cpp                                      15              7             49
./test/platform_adapter_test.dart                                         9              0             48
./windows/runner/win32_window.h                                          23             31             48
./lib/src/download/models.dart                                           14             18             39
./lib/src/mod/mod_scanner.dart                                           11              0             32
./pubspec.yaml                                                           13             57             32
./windows/runner/main.cpp                                                 9              4             30
./lib/src/platform/platform_adapter_factory.dart                          5              7             29
./lib/src/task/task_context.dart                                         10             20             25
./windows/runner/CMakeLists.txt                                           6             12             22
./windows/runner/flutter_window.h                                         8              5             20
./windows/flutter/generated_plugins.cmake                                 5              3             19
./lib/src/ui/pages/index.dart                                             0              0             18
./test/widget_test.dart                                                   5              9             17
./lib/src/ui/components/index.dart                                        0              0             15
./lib/src/platform/platform_adapter.dart                                 10             21             13
./windows/runner/runner.exe.manifest                                      0              1             13
./lib/src/task/task_progress.dart                                         4             12             12
./windows/flutter/generated_plugin_registrant.cc                          4              4             12
./lib/src/resource_center/api_interface.dart                              6             16              9
./lib/src/resource_center/index.dart                                      7             10              9
./windows/runner/resource.h                                               1              6              9
./windows/runner/utils.h                                                  5              6              8
./lib/src/download/index.dart                                             0              0              7
./lib/src/task/task_status.dart                                           4              8              7
./lib/src/instance/index.dart                                             1              0              6
./lib/src/auth/index.dart                                                 0              0              5
./lib/src/game/index.dart                                                 0              2              5
./lib/src/platform/index.dart                                             0              0              5
./windows/flutter/generated_plugin_registrant.h                           5              5              5
./lib/src/config/index.dart                                               0              2              4
./lib/src/core/index.dart                                                 1              2              4
